Records sans numéro : 
"Lemoine";"Emmeline";"";"emmeline.lemoine@example.org";"00-55-51-64-64"
"Abbadie";"Nicolas";"";"nicolasabbadie@example.com";""
"Lefrançois";"Claudie";"";"";"+33000555533"
"Giraud";"Solenn";"";"solenn.giraud@example.org";""
"el-Abed";"Shukriyya";"";"shukriyya.el.abed@example.org";"+33(0)0-55-55-78-08"
"Lièvremont";"Jean-Louis";"Gibbonbon";"";"+33055531878"
"el-Noori";"Zuraara";"";"";"+33055551777"
"Besnard";"Leila";"";"";"+33055562840"
"Batteux";"Lucille";"Thunder";"";"+33055511273"
"Brochard";"Adrienne";"";"";"+33045558159"
"Matthieu";"Christiane";"";"christiane_matthieu@example.net";"+33(0)0-75-55-55-20"
"Millet";"Adélie";"";"adeliemillet@example.org";"00 55 55 10 79"
"Pleimelding";"Thaddée";"Rascalf";"";"+33055538944"
"Moitessier";"Simon";"";"simon_moitessier@example.org";""
"Issac";"Ram";"";"ram.issac@example.com";"00-55-58-65-90"
"Ballesdens";"Céleste";"";"celesteballesdens@example.net";""
"Courvoisier";"Marie-Christine";"Sheep";"";"+33055519626"
"Tiwari";"Ajay";"";"ajay_tiwari@example.org";"+330 55 50 61 99"
"Figuier";"Angélique";"";"angelique.figuier@example.org";""
"Passereau";"Inès";"";"";"+33055595164"
"Barthet";"Angeline";"Locust";"Locust75@example.org";""
"De Villepin";"Jean";"Phoenixia";"";"+33000555837"
"el-Sultana";"Labeeb";"Custard";"";"+33055514762"
"Courvoisier";"Fabien";"";"fabien_courvoisier@example.org";"+330.45.55.69.06"
"Rigal";"Élisabeth";"";"";"+33085551092"
"Charbonneau";"Lara";"Crocodino29";"Crocodino291900@example.net";""
"Botrel";"Romméo";"Demon";"Demon3835@example.org";""
"Manda";"Gatha";"";"gathamanda@example.com";"+330-75-55-72-57"
"Lafaille";"Léonard";"";"leonardlafaille@example.org";""
"Besnard";"Leila";"";"";"+33055562840"
"De Villiers";"Rosalie";"Wombat";"Wombat1470@example.net";"00.55.53.80.74"
